,value
0_primarytoI_spread,0.011810208167584612
0_primarytoII_spread,0.27844647613981377
0_primarytoIII_spread,0.1444373474669277
0_primarytoIV_spread,0.04838139142322344
0_primarytoV_spread,0.03074827192063518
0_ItoII_spread,0.6015752592480916
0_IItoIII_spread,0.2903784394460733
0_IIItoIV_spread,0.0756342208215767
0_IVtoV_spread,0.0947097509597804
0_late_p,0.3754715490762129
0_C01_coef,0.02149575284961671
0_C02_coef,0.08879442398938878
0_C03_coef,0.0
0_C04_coef,0.041009069879492606
0_C05_coef,0.016061937249299413
0_C06_coef,0.0
0_C09_coef,0.07424882038905015
0_C10_coef,0.26677623749931567
0_C12_coef,0.9812498922023805
0_C13_coef,0.9452832481257327
1_primarytoI_spread,0.05678758975489285
1_primarytoII_spread,0.026250244724609368
1_primarytoIII_spread,0.014176085586880632
1_primarytoIV_spread,0.003993432493645674
1_primarytoV_spread,6.610696135189607e-05
1_ItoII_spread,0.17125769147962638
1_IItoIII_spread,0.04571878805985854
1_IIItoIV_spread,0.010658520871644464
1_IVtoV_spread,6.610696135189607e-05
1_late_p,0.6899080474817846
1_C01_coef,0.012907330534711044
1_C02_coef,0.6338408284099508
1_C03_coef,1.0
1_C04_coef,0.8652883841919718
1_C05_coef,0.5364857621715323
1_C06_coef,0.9431554660411641
1_C09_coef,0.06951696756728801
1_C10_coef,0.2164952009817725
1_C12_coef,0.0
1_C13_coef,3.1420870619601567e-06
2_primarytoI_spread,0.03110768974362496
2_primarytoII_spread,0.45125983798008307
2_primarytoIII_spread,0.0626234053061575
2_primarytoIV_spread,0.009145630198379797
2_primarytoV_spread,0.019313141766882393
2_ItoII_spread,0.9999647561201441
2_IItoIII_spread,0.11308296399326696
2_IIItoIV_spread,0.175134786241201
2_IVtoV_spread,0.15923512699113046
2_late_p,0.3957348752869282
2_C01_coef,0.9655969166156723
2_C02_coef,0.27736474760066043
2_C03_coef,0.0
2_C04_coef,0.09370254592853557
2_C05_coef,0.4474523005791683
2_C06_coef,0.05684453395883592
2_C09_coef,0.8562342120436619
2_C10_coef,0.5167285615189118
2_C12_coef,0.01875010779761955
2_C13_coef,0.05471360978720536
