,value
0_primarytoI_spread,0.00020640360553998615
0_primarytoII_spread,0.017471819049247057
0_primarytoIII_spread,0.007334344072922649
0_primarytoIV_spread,0.0006076044198900718
0_primarytoV_spread,6.610696135189607e-05
0_ItoII_spread,6.610696135189607e-05
0_IItoIII_spread,0.2105822159847403
0_IIItoIV_spread,0.024538348025321333
0_IVtoV_spread,6.610696135189607e-05
0_late_p,0.9999352460213898
0_C01_coef,0.0
0_C02_coef,0.11257033749696362
0_C03_coef,2.984413215972581e-08
0_C04_coef,0.0006153090633986507
0_C05_coef,0.0
0_C06_coef,0.4485181271971988
0_C09_coef,0.08027352559263368
0_C10_coef,0.13809908744182844
0_C12_coef,0.12397235871632138
0_C13_coef,0.2421163537607058
0_C32.0_coef,0.9876320694854474
0_C32.1_coef,0.4377576722927688
0_C32.2_coef,1.0
1_primarytoI_spread,0.015979162576220913
1_primarytoII_spread,0.7340571304349568
1_primarytoIII_spread,6.610696135189607e-05
1_primarytoIV_spread,0.002473601295487378
1_primarytoV_spread,0.02049703195374462
1_ItoII_spread,0.9999338930386481
1_IItoIII_spread,0.16746135029316658
1_IIItoIV_spread,0.44622237347733335
1_IVtoV_spread,0.999945661411593
1_late_p,0.2278403794703611
1_C01_coef,0.6410125838719627
1_C02_coef,0.2557353677735592
1_C03_coef,0.0
1_C04_coef,0.00021742744185800184
1_C05_coef,0.1190170217316355
1_C06_coef,0.0
1_C09_coef,0.6081454839105872
1_C10_coef,0.256722252079517
1_C12_coef,0.15852562807967152
1_C13_coef,0.1421491745759818
1_C32.0_coef,0.0
1_C32.1_coef,0.21260235007128306
1_C32.2_coef,0.0
2_primarytoI_spread,0.026270771940672948
2_primarytoII_spread,0.23951726650314872
2_primarytoIII_spread,0.1797522637043637
2_primarytoIV_spread,0.06765046601522054
2_primarytoV_spread,0.0273829327650635
2_ItoII_spread,0.5323013811183219
2_IItoIII_spread,0.3204222386287406
2_IIItoIV_spread,6.610696135189607e-05
2_IVtoV_spread,0.017426582645102003
2_late_p,0.5137817555291918
2_C01_coef,0.3054292035695892
2_C02_coef,0.2470510186198204
2_C03_coef,0.0
2_C04_coef,0.130010771962928
2_C05_coef,0.29646549771376834
2_C06_coef,0.0
2_C09_coef,0.27068734934806643
2_C10_coef,0.4479527303644696
2_C12_coef,0.7175020132040071
2_C13_coef,0.6157344716633124
2_C32.0_coef,0.012367930514552684
2_C32.1_coef,0.34963997763594823
2_C32.2_coef,0.0
3_primarytoI_spread,0.055484068375778656
3_primarytoII_spread,0.026369695722431127
3_primarytoIII_spread,0.003613497587871941
3_primarytoIV_spread,0.00010696331036034353
3_primarytoV_spread,6.610696135189607e-05
3_ItoII_spread,0.10547289140857419
3_IItoIII_spread,0.026754355990426276
3_IIItoIV_spread,6.610696135189607e-05
3_IVtoV_spread,6.610696135189607e-05
3_late_p,0.9999363051453205
3_C01_coef,0.053558212558448226
3_C02_coef,0.3846432761096567
3_C03_coef,0.9999999701558678
3_C04_coef,0.8691564915318153
3_C05_coef,0.5845174805545962
3_C06_coef,0.5514818728028013
3_C09_coef,0.04089364114871273
3_C10_coef,0.1572259301141849
3_C12_coef,0.0
3_C13_coef,0.0
3_C32.0_coef,0.0
3_C32.1_coef,0.0
3_C32.2_coef,0.0
