,value
0_primarytoI_spread,0.029048706408695616
0_primarytoII_spread,0.4283461108079446
0_primarytoIII_spread,0.08524117011000658
0_primarytoIV_spread,0.009900879526368514
0_primarytoV_spread,0.021631816169530804
0_ItoII_spread,0.9999461815500533
0_IItoIII_spread,0.08705032508458985
0_IIItoIV_spread,0.15551396903975706
0_IVtoV_spread,0.1659134610037672
0_late_p,0.40095331692110087
0_C01_coef,0.9861568131629764
0_C02_coef,0.3477062206447093
0_C03_coef,0.0
0_C04_coef,0.129865938723668
0_C05_coef,0.4561451117340346
0_C06_coef,0.050712271706521074
0_C09_coef,0.9227163738288626
0_C10_coef,0.7523456336502482
1_primarytoI_spread,0.05649061259279263
1_primarytoII_spread,0.026160146024751245
1_primarytoIII_spread,0.015988760516039778
1_primarytoIV_spread,0.005024998740641494
1_primarytoV_spread,0.0005016862846431434
1_ItoII_spread,0.18305866254703193
1_IItoIII_spread,0.049006179776577175
1_IIItoIV_spread,0.0065040175256369705
1_IVtoV_spread,6.610696135189607e-05
1_late_p,0.6560457324523677
1_C01_coef,0.013843186837023605
1_C02_coef,0.6522937793552908
1_C03_coef,1.0
1_C04_coef,0.870134061276332
1_C05_coef,0.5438548882659654
1_C06_coef,0.949287728293479
1_C09_coef,0.07728362617113739
1_C10_coef,0.24765436634975185
