,value
0_primarytoI_spread,0.025077789447142684
0_primarytoII_spread,0.45545525649173535
0_primarytoIII_spread,0.0793703959109099
0_primarytoIV_spread,0.010316623782882022
0_primarytoV_spread,0.02718508592700671
0_ItoII_spread,0.9999338930386481
0_IItoIII_spread,0.1551252640861954
0_IIItoIV_spread,0.2580798416540173
0_IVtoV_spread,0.10457223939191107
0_late_p,0.35744068345094
0_C01_coef,0.9985044125999077
0_C02_coef,0.2506911591698071
0_C03_coef,0.0
0_C04_coef,0.07959859525648574
0_C05_coef,0.40004812191378936
0_C06_coef,0.020214017977397573
0_C09_coef,0.9360292588370869
0_C10_coef,0.7171020586530377
1_primarytoI_spread,0.06860269361593228
1_primarytoII_spread,0.03750711272478481
1_primarytoIII_spread,0.027734075931949403
1_primarytoIV_spread,0.009726098459219974
1_primarytoV_spread,0.002868031392575076
1_ItoII_spread,0.21397465983968353
1_IItoIII_spread,0.023221009785841202
1_IIItoIV_spread,6.610696135189607e-05
1_IVtoV_spread,6.610696135189607e-05
1_late_p,0.5371021450619553
1_C01_coef,0.001495587400092274
1_C02_coef,0.7493088408301929
1_C03_coef,1.0
1_C04_coef,0.9204014047435143
1_C05_coef,0.5999518780862106
1_C06_coef,0.9797859820226025
1_C09_coef,0.06397074116291317
1_C10_coef,0.2828979413469624
